feature,importance_mean,importance_std
mv_TouchNose_LeftWrist_Gyroscope_X_energy,0.0,0.0
mv_TouchNose_RightWrist_Gyroscope_X_energy,0.0,0.0
mv_TouchNose_LeftWrist_Gyroscope_Z_energy,0.0,0.0
mv_TouchNose_RightWrist_Gyroscope_Z_energy,0.0,0.0
mv_TouchNose_LeftWrist_Gyroscope_Y_energy,0.0,0.0
mv_Entrainment2_RightWrist_Gyroscope_X_energy,0.0,0.0
mv_RelaxedTask1_RightWrist_Gyroscope_X_energy,0.0,0.0
mv_TouchNose_RightWrist_Gyroscope_Y_energy,0.0,0.0
mv_RelaxedTask2_RightWrist_Gyroscope_X_energy,0.0,0.0
mv_DrinkGlas_RightWrist_Gyroscope_X_energy,0.0,0.0
mv_RelaxedTask1_LeftWrist_Gyroscope_X_energy,0.0,0.0
mv_Relaxed2_RightWrist_Gyroscope_X_energy,0.0,0.0
mv_Entrainment2_RightWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_RelaxedTask2_LeftWrist_Gyroscope_X_energy,0.0,0.0
mv_DrinkGlas_LeftWrist_Gyroscope_X_energy,0.0,0.0
mv_RelaxedTask1_RightWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_CrossArms_RightWrist_Gyroscope_X_energy,0.0,0.0
mv_Entrainment2_LeftWrist_Gyroscope_X_energy,0.0,0.0
mv_Entrainment1_RightWrist_Gyroscope_X_energy,0.0,0.0
mv_Relaxed1_RightWrist_Gyroscope_X_energy,0.0,0.0
mv_RelaxedTask2_RightWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_RelaxedTask1_RightWrist_Gyroscope_Y_energy,0.0,0.0
mv_RelaxedTask2_RightWrist_Gyroscope_Y_energy,0.0,0.0
mv_TouchNose_LeftWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_CrossArms_RightWrist_Gyroscope_Y_energy,0.0,0.0
mv_CrossArms_RightWrist_Gyroscope_Z_energy,0.0,0.0
mv_Relaxed2_RightWrist_Gyroscope_Y_energy,0.0,0.0
mv_DrinkGlas_RightWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_Relaxed1_RightWrist_Gyroscope_Y_energy,0.0,0.0
mv_RelaxedTask1_LeftWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_StretchHold_RightWrist_Gyroscope_X_energy,0.0,0.0
mv_CrossArms_LeftWrist_Gyroscope_Z_energy,0.0,0.0
mv_Entrainment1_LeftWrist_Gyroscope_X_energy,0.0,0.0
mv_Relaxed2_RightWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_Relaxed1_LeftWrist_Gyroscope_X_energy,0.0,0.0
mv_HoldWeight_LeftWrist_Gyroscope_X_energy,0.0,0.0
mv_RelaxedTask2_LeftWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_TouchNose_RightWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_CrossArms_LeftWrist_Gyroscope_X_energy,0.0,0.0
mv_CrossArms_LeftWrist_Gyroscope_Y_energy,0.0,0.0
mv_RelaxedTask2_LeftWrist_Gyroscope_Y_energy,0.0,0.0
mv_HoldWeight_RightWrist_Gyroscope_X_energy,0.0,0.0
mv_Entrainment2_RightWrist_Gyroscope_Y_energy,0.0,0.0
mv_Relaxed1_RightWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_Entrainment2_LeftWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_Entrainment1_RightWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_CrossArms_RightWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_RelaxedTask1_RightWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_RelaxedTask2_RightWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_DrinkGlas_LeftWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_CrossArms_RightWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_DrinkGlas_RightWrist_Gyroscope_Z_energy,0.0,0.0
mv_Relaxed2_LeftWrist_Gyroscope_Y_energy,0.0,0.0
mv_DrinkGlas_LeftWrist_Gyroscope_Z_energy,0.0,0.0
mv_Relaxed2_RightWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_DrinkGlas_RightWrist_Gyroscope_Y_energy,0.0,0.0
mv_Relaxed1_LeftWrist_Gyroscope_Y_energy,0.0,0.0
mv_Relaxed1_RightWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_Entrainment2_RightWrist_Gyroscope_Z_energy,0.0,0.0
mv_Relaxed2_LeftWrist_Gyroscope_X_energy,0.0,0.0
mv_Entrainment2_LeftWrist_Gyroscope_Y_energy,0.0,0.0
mv_RelaxedTask1_LeftWrist_Gyroscope_Y_energy,0.0,0.0
mv_Entrainment1_RightWrist_Gyroscope_Y_energy,0.0,0.0
mv_StretchHold_LeftWrist_Gyroscope_X_energy,0.0,0.0
mv_DrinkGlas_LeftWrist_Gyroscope_Y_energy,0.0,0.0
mv_HoldWeight_LeftWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_StretchHold_RightWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_Entrainment1_LeftWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_HoldWeight_RightWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_RelaxedTask2_RightWrist_Gyroscope_Z_energy,0.0,0.0
mv_Entrainment2_RightWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_RelaxedTask2_LeftWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_Relaxed1_RightWrist_Gyroscope_Z_energy,0.0,0.0
mv_StretchHold_RightWrist_Gyroscope_Y_energy,0.0,0.0
mv_TouchNose_LeftWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_CrossArms_RightWrist_Gyroscope_Z_bandpower_3_7hz,0.0,0.0
mv_Relaxed2_RightWrist_Gyroscope_Z_energy,0.0,0.0
mv_CrossArms_LeftWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_RelaxedTask1_RightWrist_Gyroscope_Z_energy,0.0,0.0
mv_Entrainment1_RightWrist_Gyroscope_Z_energy,0.0,0.0
mv_TouchNose_RightWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_Relaxed2_LeftWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_CrossArms_LeftWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_Entrainment1_LeftWrist_Gyroscope_Y_energy,0.0,0.0
mv_Relaxed1_LeftWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_TouchNose_RightWrist_Accelerometer_Y_energy,0.0,0.0
mv_TouchNose_LeftWrist_Accelerometer_Y_energy,0.0,0.0
mv_RelaxedTask1_LeftWrist_Gyroscope_Z_energy,0.0,0.0
mv_Relaxed1_LeftWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_TouchNose_LeftWrist_Gyroscope_Z_bandpower_3_7hz,0.0,0.0
mv_Entrainment2_RightWrist_Gyroscope_Z_bandpower_3_7hz,0.0,0.0
mv_Relaxed1_LeftWrist_Gyroscope_Z_energy,0.0,0.0
mv_TouchNose_LeftWrist_Accelerometer_Z_energy,0.0,0.0
mv_TouchNose_RightWrist_Accelerometer_Z_energy,0.0,0.0
mv_RelaxedTask1_LeftWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_RelaxedTask2_LeftWrist_Gyroscope_Z_energy,0.0,0.0
mv_Entrainment1_RightWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_StretchHold_LeftWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_RelaxedTask2_RightWrist_Gyroscope_Z_bandpower_3_7hz,0.0,0.0
mv_DrinkGlas_RightWrist_Accelerometer_Y_kurtosis_excess,0.0,0.0
mv_TouchNose_RightWrist_Gyroscope_Z_bandpower_3_7hz,0.0,0.0
mv_Entrainment2_LeftWrist_Gyroscope_Z_energy,0.0,0.0
mv_StretchHold_RightWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_CrossArms_RightWrist_Accelerometer_Z_energy,0.0,0.0
mv_Relaxed1_RightWrist_Gyroscope_Z_bandpower_3_7hz,0.0,0.0
mv_Relaxed2_LeftWrist_Gyroscope_X_bandpower_3_7hz,0.0,0.0
mv_Relaxed2_LeftWrist_Gyroscope_Z_energy,0.0,0.0
mv_DrinkGlas_RightWrist_Accelerometer_Z_kurtosis_excess,0.0,0.0
mv_RelaxedTask1_RightWrist_Gyroscope_Z_bandpower_3_7hz,0.0,0.0
mv_Entrainment2_LeftWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_StretchHold_LeftWrist_Gyroscope_Y_energy,0.0,0.0
mv_RelaxedTask1_LeftWrist_Accelerometer_Y_energy,0.0,0.0
mv_Relaxed2_RightWrist_Gyroscope_Z_bandpower_3_7hz,0.0,0.0
mv_DrinkGlas_RightWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_DrinkGlas_LeftWrist_Gyroscope_Y_bandpower_3_7hz,0.0,0.0
mv_RelaxedTask2_RightWrist_Accelerometer_Y_energy,0.0,0.0
mv_Entrainment1_LeftWrist_Gyroscope_Z_energy,0.0,0.0
mv_DrinkGlas_LeftWrist_Accelerometer_Z_kurtosis_excess,0.0,0.0
mv_DrinkGlas_LeftWrist_Accelerometer_Y_kurtosis_excess,0.0,0.0
mv_RelaxedTask1_LeftWrist_Gyroscope_Z_bandpower_3_7hz,0.0,0.0
